,codmunres,year,cs_sexo,faixa,count
656,130320.0,2017.0,1,4549,1
657,130320.0,2017.0,1,5054,1
658,130320.0,2017.0,1,6064,1
659,130320.0,2017.0,2,1014,1
660,130320.0,2017.0,2,2024,1
661,130320.0,2017.0,2,2529,2
662,130320.0,2017.0,2,4,1
663,130320.0,2017.0,2,509,1
664,130320.0,2019.0,1,1014,1
665,130320.0,2019.0,1,3034,1
666,130356.0,2016.0,1,4,1
667,130406.0,2016.0,1,4,1
668,130406.0,2016.0,1,4044,1
669,130406.0,2016.0,1,4549,1
670,130406.0,2016.0,2,2529,1
671,130406.0,2017.0,1,2529,1
672,130410.0,2016.0,2,1014,1
673,130410.0,2017.0,1,2024,4
674,130410.0,2017.0,1,2529,2
675,130410.0,2017.0,1,3034,4
676,130410.0,2017.0,1,3539,1
677,130410.0,2017.0,1,4,2
678,130410.0,2017.0,1,4549,1
679,130410.0,2017.0,1,5054,1
680,130410.0,2017.0,2,1519,2
681,130410.0,2017.0,2,2024,1
682,130410.0,2017.0,2,3539,2
683,130410.0,2017.0,2,4,3
684,130410.0,2017.0,2,4044,1
685,130410.0,2017.0,2,509,1
686,130410.0,2017.0,2,5559,1
687,130420.0,2017.0,1,3034,1
688,140002.0,2017.0,1,1519,1
689,140002.0,2017.0,1,3034,1
690,140002.0,2017.0,2,2529,1
691,140005.0,2015.0,1,1519,1
692,140010.0,2015.0,1,1014,1
693,140010.0,2015.0,1,1519,1
694,140010.0,2015.0,1,2024,2
695,140010.0,2015.0,1,2529,1
696,140010.0,2015.0,1,3034,2
697,140010.0,2015.0,1,3539,2
698,140010.0,2015.0,1,4044,3
699,140010.0,2015.0,1,4549,1
700,140010.0,2015.0,1,5054,2
701,140010.0,2015.0,2,1014,3
702,140010.0,2015.0,2,1519,1
703,140010.0,2015.0,2,2024,1
704,140010.0,2015.0,2,5054,1
705,140010.0,2016.0,1,1014,6
706,140010.0,2016.0,1,1519,9
707,140010.0,2016.0,1,2024,10
708,140010.0,2016.0,1,2529,9
709,140010.0,2016.0,1,3034,13
710,140010.0,2016.0,1,3539,16
711,140010.0,2016.0,1,4,9
712,140010.0,2016.0,1,4044,6
713,140010.0,2016.0,1,4549,4
714,140010.0,2016.0,1,5054,10
715,140010.0,2016.0,1,509,3
716,140010.0,2016.0,1,5559,1
717,140010.0,2016.0,1,6064,1
718,140010.0,2016.0,1,6569,1
719,140010.0,2016.0,2,1014,1
720,140010.0,2016.0,2,1519,8
721,140010.0,2016.0,2,2529,4
722,140010.0,2016.0,2,3034,6
723,140010.0,2016.0,2,3539,8
724,140010.0,2016.0,2,4,8
725,140010.0,2016.0,2,4044,2
726,140010.0,2016.0,2,4549,2
727,140010.0,2016.0,2,5054,1
728,140010.0,2016.0,2,509,4
729,140010.0,2016.0,2,7579,1
730,140010.0,2017.0,1,1014,8
731,140010.0,2017.0,1,1519,7
732,140010.0,2017.0,1,2024,11
733,140010.0,2017.0,1,2529,4
734,140010.0,2017.0,1,3034,16
735,140010.0,2017.0,1,3539,1
